id,generic_type,specific_type,class
dbpedia_13922,dbo:Media,dbo:Food,0
dbpedia_13887,dbo:Agent,dbo:EducationalInstitution,1
dbpedia_13887,dbo:Agent,dbo:PoliticalParty,0
dbpedia_13887,dbo:Agent,dbo:Organisation,1
dbpedia_13887,dbo:Agent,dbo:Family,0
dbpedia_13887,dbo:Agent,dbo:Agent,1
dbpedia_13887,dbo:Agent,dbo:Person,0
dbpedia_16941,dbo:Location,dbo:Port,1
dbpedia_16941,dbo:Location,dbo:Airport,0
dbpedia_16941,dbo:Location,dbo:Infrastructure,1
dbpedia_16941,dbo:Location,dbo:Zoo,0
dbpedia_16941,dbo:Location,dbo:ArchitecturalStructure,1
dbpedia_16941,dbo:Location,dbo:SkiResort,0
dbpedia_16941,dbo:Location,dbo:Place,1
dbpedia_16941,dbo:Location,dbo:CelestialBody,0
dbpedia_16941,dbo:Location,dbo:Location,1
dbpedia_16941,dbo:Location,dbo:Currency,0
dbpedia_7858,dbo:Agent,dbo:Person,1
dbpedia_7858,dbo:Agent,dbo:Family,0
dbpedia_7858,dbo:Agent,dbo:Agent,1
dbpedia_7858,dbo:Agent,dbo:Name,0
dbpedia_17670,dbo:Location,dbo:City,1
dbpedia_17670,dbo:Location,dbo:HistoricalSettlement,0
dbpedia_17670,dbo:Location,dbo:Settlement,1
dbpedia_17670,dbo:Location,dbo:Department,0
dbpedia_17670,dbo:Location,dbo:PopulatedPlace,1
dbpedia_17670,dbo:Location,dbo:SkiResort,0
dbpedia_17670,dbo:Location,dbo:Place,1
dbpedia_17670,dbo:Location,dbo:CelestialBody,0
dbpedia_17670,dbo:Location,dbo:Location,1
dbpedia_17670,dbo:Location,dbo:Disease,0
dbpedia_16821,dbo:Agent,dbo:Person,1
dbpedia_16821,dbo:Agent,dbo:Family,0
dbpedia_16821,dbo:Agent,dbo:Agent,1
dbpedia_16821,dbo:Agent,dbo:Location,0
dbpedia_10526,dbo:Location,dbo:Building,1
dbpedia_10526,dbo:Location,dbo:Zoo,0
dbpedia_10526,dbo:Location,dbo:ArchitecturalStructure,1
dbpedia_10526,dbo:Location,dbo:SkiResort,0
dbpedia_10526,dbo:Location,dbo:Place,1
dbpedia_10526,dbo:Location,dbo:CelestialBody,0
dbpedia_10526,dbo:Location,dbo:Location,1
dbpedia_10526,dbo:Location,dbo:Country,0
dbpedia_4677,dbo:Work,dbo:Album,1
dbpedia_4677,dbo:Work,dbo:Song,0
dbpedia_4677,dbo:Work,dbo:MusicalWork,1
dbpedia_4677,dbo:Work,dbo:Website,0
dbpedia_4677,dbo:Work,dbo:Work,1
dbpedia_4677,dbo:Work,dbo:Flag,0
dbpedia_6660,dbo:Biomolecule,dbo:Protein,1
dbpedia_6660,dbo:Biomolecule,dbo:Protein,0
dbpedia_6660,dbo:Biomolecule,dbo:Biomolecule,1
dbpedia_6660,dbo:Biomolecule,dbo:River,0
dbpedia_10228,dbo:Media,dbo:Media,1
dbpedia_10228,dbo:Media,dbo:Event,0
dbpedia_22436,dbo:Location,dbo:City,1
dbpedia_22436,dbo:Location,dbo:HistoricalSettlement,0
dbpedia_22436,dbo:Location,dbo:Settlement,1
dbpedia_22436,dbo:Location,dbo:Department,0
dbpedia_22436,dbo:Location,dbo:PopulatedPlace,1
dbpedia_22436,dbo:Location,dbo:SkiResort,0
dbpedia_22436,dbo:Location,dbo:Place,1
dbpedia_22436,dbo:Location,dbo:CelestialBody,0
dbpedia_22436,dbo:Location,dbo:Location,1
dbpedia_22436,dbo:Location,dbo:Country,0
dbpedia_2355,dbo:Work,dbo:Opera,1
dbpedia_2355,dbo:Work,dbo:Song,0
dbpedia_2355,dbo:Work,dbo:MusicalWork,1
dbpedia_2355,dbo:Work,dbo:Website,0
dbpedia_2355,dbo:Work,dbo:Work,1
dbpedia_2355,dbo:Work,dbo:Media,0
dbpedia_23284,dbo:Agent,dbo:Airline,1
dbpedia_23284,dbo:Agent,dbo:RecordLabel,0
dbpedia_23284,dbo:Agent,dbo:Company,1
dbpedia_23284,dbo:Agent,dbo:PoliticalParty,0
dbpedia_23284,dbo:Agent,dbo:Organisation,1
dbpedia_23284,dbo:Agent,dbo:Family,0
dbpedia_23284,dbo:Agent,dbo:Agent,1
dbpedia_23284,dbo:Agent,dbo:City,0
dbpedia_20984,dbo:Agent,dbo:SoccerPlayer,1
dbpedia_20984,dbo:Agent,dbo:Surfer,0
dbpedia_20984,dbo:Agent,dbo:Athlete,1
dbpedia_20984,dbo:Agent,dbo:Architect,0
dbpedia_20984,dbo:Agent,dbo:Person,1
dbpedia_20984,dbo:Agent,dbo:Family,0
dbpedia_20984,dbo:Agent,dbo:Agent,1
dbpedia_20984,dbo:Agent,dbo:ChemicalSubstance,0
dbpedia_13144,dbo:TopicalConcept,dbo:Taxon,1
dbpedia_13144,dbo:TopicalConcept,dbo:Type,0
dbpedia_13144,dbo:TopicalConcept,dbo:TopicalConcept,1
dbpedia_13144,dbo:TopicalConcept,dbo:PoliticalParty,0
dbpedia_21248,dbo:Agent,dbo:Person,1
dbpedia_21248,dbo:Agent,dbo:Family,0
dbpedia_21248,dbo:Agent,dbo:Agent,1
dbpedia_21248,dbo:Agent,dbo:City,0
dbpedia_19379,dbo:Species,dbo:FloweringPlant,1
dbpedia_19379,dbo:Species,dbo:Gnetophytes,0
dbpedia_19379,dbo:Species,dbo:Insect,1
dbpedia_19379,dbo:Species,dbo:Conifer,0
dbpedia_19379,dbo:Species,dbo:Plant,1
dbpedia_19379,dbo:Species,dbo:Fungus,0
dbpedia_19379,dbo:Species,dbo:Eukaryote,1
dbpedia_19379,dbo:Species,dbo:Eukaryote,0
dbpedia_19379,dbo:Species,dbo:Species,1
dbpedia_19379,dbo:Species,dbo:MedicalSpecialty,0
dbpedia_16035,dbo:Award,dbo:Award,1
dbpedia_16035,dbo:Award,dbo:AnatomicalStructure,0
dbpedia_20512,dbo:Location,dbo:Lake,1
dbpedia_20512,dbo:Location,dbo:Lake,0
dbpedia_20512,dbo:Location,dbo:Sea,1
dbpedia_20512,dbo:Location,dbo:Sea,0
dbpedia_20512,dbo:Location,dbo:BodyOfWater,1
dbpedia_20512,dbo:Location,dbo:Crater,0
dbpedia_20512,dbo:Location,dbo:NaturalPlace,1
dbpedia_20512,dbo:Location,dbo:SkiResort,0
dbpedia_20512,dbo:Location,dbo:Place,1
dbpedia_20512,dbo:Location,dbo:CelestialBody,0
dbpedia_20512,dbo:Location,dbo:Location,1
dbpedia_20512,dbo:Location,dbo:Food,0
dbpedia_12043,dbo:Work,dbo:Film,1
dbpedia_12043,dbo:Work,dbo:Website,0
dbpedia_12043,dbo:Work,dbo:Work,1
dbpedia_12043,dbo:Work,dbo:Biomolecule,0
dbpedia_14432,dbo:Location,dbo:Country,1
dbpedia_14432,dbo:Location,dbo:Department,0
dbpedia_14432,dbo:Location,dbo:State,1
dbpedia_14432,dbo:Location,dbo:Street,0
dbpedia_14432,dbo:Location,dbo:PopulatedPlace,1
dbpedia_14432,dbo:Location,dbo:SkiResort,0
dbpedia_14432,dbo:Location,dbo:Place,1
dbpedia_14432,dbo:Location,dbo:CelestialBody,0
dbpedia_14432,dbo:Location,dbo:Location,1
dbpedia_14432,dbo:Location,dbo:MeanOfTransportation,0
dbpedia_6849,dbo:Award,dbo:Award,1
dbpedia_6849,dbo:Award,dbo:Language,0
dbpedia_4681,dbo:Agent,dbo:SportsLeague,1
dbpedia_4681,dbo:Agent,dbo:PoliticalParty,0
dbpedia_4681,dbo:Agent,dbo:Organisation,1
dbpedia_4681,dbo:Agent,dbo:Family,0
dbpedia_4681,dbo:Agent,dbo:Agent,1
dbpedia_4681,dbo:Agent,dbo:SoccerClub,0
dbpedia_14378,dbo:Award,dbo:Award,1
dbpedia_14378,dbo:Award,dbo:Person,0
dbpedia_20211,dbo:Location,dbo:Country,1
dbpedia_20211,dbo:Location,dbo:Department,0
dbpedia_20211,dbo:Location,dbo:PopulatedPlace,1
dbpedia_20211,dbo:Location,dbo:SkiResort,0
dbpedia_20211,dbo:Location,dbo:Place,1
dbpedia_20211,dbo:Location,dbo:CelestialBody,0
dbpedia_20211,dbo:Location,dbo:Location,1
dbpedia_20211,dbo:Location,dbo:ChemicalSubstance,0
dbpedia_15062,dbo:Agent,dbo:Person,1
dbpedia_15062,dbo:Agent,dbo:Family,0
dbpedia_15062,dbo:Agent,dbo:Agent,1
dbpedia_15062,dbo:Agent,dbo:Museum,0
dbpedia_8774,dbo:Work,dbo:Single,1
dbpedia_8774,dbo:Work,dbo:Song,0
dbpedia_8774,dbo:Work,dbo:MusicalWork,1
dbpedia_8774,dbo:Work,dbo:Website,0
dbpedia_8774,dbo:Work,dbo:Work,1
dbpedia_8774,dbo:Work,dbo:CollegeCoach,0
dbpedia_19214,dbo:Location,dbo:City,1
dbpedia_19214,dbo:Location,dbo:HistoricalSettlement,0
dbpedia_19214,dbo:Location,dbo:Settlement,1
dbpedia_19214,dbo:Location,dbo:Department,0
dbpedia_19214,dbo:Location,dbo:PopulatedPlace,1
dbpedia_19214,dbo:Location,dbo:SkiResort,0
dbpedia_19214,dbo:Location,dbo:Place,1
dbpedia_19214,dbo:Location,dbo:CelestialBody,0
dbpedia_19214,dbo:Location,dbo:Location,1
dbpedia_19214,dbo:Location,dbo:UnitOfWork,0
dbpedia_7008,dbo:Location,dbo:City,1
dbpedia_7008,dbo:Location,dbo:HistoricalSettlement,0
dbpedia_7008,dbo:Location,dbo:Settlement,1
dbpedia_7008,dbo:Location,dbo:Department,0
dbpedia_7008,dbo:Location,dbo:PopulatedPlace,1
dbpedia_7008,dbo:Location,dbo:SkiResort,0
dbpedia_7008,dbo:Location,dbo:Place,1
dbpedia_7008,dbo:Location,dbo:CelestialBody,0
dbpedia_7008,dbo:Location,dbo:Location,1
dbpedia_7008,dbo:Location,dbo:PublicService,0
dbpedia_10827,dbo:Location,dbo:Country,1
dbpedia_10827,dbo:Location,dbo:Department,0
dbpedia_10827,dbo:Location,dbo:State,1
dbpedia_10827,dbo:Location,dbo:Street,0
dbpedia_10827,dbo:Location,dbo:PopulatedPlace,1
dbpedia_10827,dbo:Location,dbo:SkiResort,0
dbpedia_10827,dbo:Location,dbo:Place,1
dbpedia_10827,dbo:Location,dbo:CelestialBody,0
dbpedia_10827,dbo:Location,dbo:Location,1
dbpedia_10827,dbo:Location,dbo:Language,0
dbpedia_22908,dbo:Work,dbo:TelevisionShow,1
dbpedia_22908,dbo:Work,dbo:Website,0
dbpedia_22908,dbo:Work,dbo:Work,1
dbpedia_22908,dbo:Work,dbo:UnitOfWork,0
dbpedia_11812,dbo:Work,dbo:VideoGame,1
dbpedia_11812,dbo:Work,dbo:VideoGame,0
dbpedia_11812,dbo:Work,dbo:Software,1
dbpedia_11812,dbo:Work,dbo:Website,0
dbpedia_11812,dbo:Work,dbo:Work,1
dbpedia_11812,dbo:Work,dbo:CollegeCoach,0
dbpedia_19841,dbo:Work,dbo:TelevisionShow,1
dbpedia_19841,dbo:Work,dbo:Website,0
dbpedia_19841,dbo:Work,dbo:Work,1
dbpedia_19841,dbo:Work,dbo:EthnicGroup,0
dbpedia_22300,dbo:Agent,dbo:SoccerManager,1
dbpedia_22300,dbo:Agent,dbo:SoccerManager,0
dbpedia_22300,dbo:Agent,dbo:SportsManager,1
dbpedia_22300,dbo:Agent,dbo:Architect,0
dbpedia_22300,dbo:Agent,dbo:SoccerPlayer,1
dbpedia_22300,dbo:Agent,dbo:Host,0
dbpedia_22300,dbo:Agent,dbo:Person,1
dbpedia_22300,dbo:Agent,dbo:Family,0
dbpedia_22300,dbo:Agent,dbo:Agent,1
dbpedia_22300,dbo:Agent,dbo:TopicalConcept,0
dbpedia_22669,dbo:Country,dbo:Country,1
dbpedia_22669,dbo:Country,dbo:OfficeHolder,0
dbpedia_1947,dbo:Activity,dbo:Activity,1
dbpedia_1947,dbo:Activity,dbo:MusicalArtist,0
dbpedia_16241,dbo:Agent,dbo:Person,1
dbpedia_16241,dbo:Agent,dbo:Family,0
dbpedia_16241,dbo:Agent,dbo:Agent,1
dbpedia_16241,dbo:Agent,dbo:Work,0
dbpedia_9568,dbo:Agent,dbo:Band,1
dbpedia_9568,dbo:Agent,dbo:PoliticalParty,0
dbpedia_9568,dbo:Agent,dbo:Group,1
dbpedia_9568,dbo:Agent,dbo:SportsTeam,0
dbpedia_9568,dbo:Agent,dbo:Organisation,1
dbpedia_9568,dbo:Agent,dbo:Family,0
dbpedia_9568,dbo:Agent,dbo:Agent,1
dbpedia_9568,dbo:Agent,dbo:Flag,0
dbpedia_4787,dbo:Location,dbo:Country,1
dbpedia_4787,dbo:Location,dbo:Department,0
dbpedia_4787,dbo:Location,dbo:State,1
dbpedia_4787,dbo:Location,dbo:Street,0
dbpedia_4787,dbo:Location,dbo:PopulatedPlace,1
dbpedia_4787,dbo:Location,dbo:SkiResort,0
dbpedia_4787,dbo:Location,dbo:Place,1
dbpedia_4787,dbo:Location,dbo:CelestialBody,0
dbpedia_4787,dbo:Location,dbo:Location,1
dbpedia_4787,dbo:Location,dbo:EthnicGroup,0
dbpedia_16272,dbo:Agent,dbo:University,1
dbpedia_16272,dbo:Agent,dbo:Library,0
dbpedia_16272,dbo:Agent,dbo:EducationalInstitution,1
dbpedia_16272,dbo:Agent,dbo:PoliticalParty,0
dbpedia_16272,dbo:Agent,dbo:Organisation,1
dbpedia_16272,dbo:Agent,dbo:Family,0
dbpedia_16272,dbo:Agent,dbo:Agent,1
dbpedia_16272,dbo:Agent,dbo:Disease,0
dbpedia_17649,dbo:Agent,dbo:Person,1
dbpedia_17649,dbo:Agent,dbo:Family,0
dbpedia_17649,dbo:Agent,dbo:Agent,1
dbpedia_17649,dbo:Agent,dbo:SoccerClub,0
dbpedia_20278,dbo:Agent,dbo:Person,1
dbpedia_20278,dbo:Agent,dbo:Family,0
dbpedia_20278,dbo:Agent,dbo:Agent,1
dbpedia_20278,dbo:Agent,dbo:PoliticalParty,0
dbpedia_19043,dbo:Location,dbo:River,1
dbpedia_19043,dbo:Location,dbo:River,0
dbpedia_19043,dbo:Location,dbo:Stream,1
dbpedia_19043,dbo:Location,dbo:Lake,0
dbpedia_19043,dbo:Location,dbo:BodyOfWater,1
dbpedia_19043,dbo:Location,dbo:Crater,0
dbpedia_19043,dbo:Location,dbo:NaturalPlace,1
dbpedia_19043,dbo:Location,dbo:SkiResort,0
dbpedia_19043,dbo:Location,dbo:Place,1
dbpedia_19043,dbo:Location,dbo:CelestialBody,0
dbpedia_19043,dbo:Location,dbo:Location,1
dbpedia_19043,dbo:Location,dbo:Flag,0
dbpedia_5232,dbo:Work,dbo:Work,1
dbpedia_5232,dbo:Work,dbo:PersonFunction,0
dbpedia_13070,dbo:Agent,dbo:Person,1
dbpedia_13070,dbo:Agent,dbo:Family,0
dbpedia_13070,dbo:Agent,dbo:Agent,1
dbpedia_13070,dbo:Agent,dbo:Language,0
dbpedia_6486,dbo:Award,dbo:Award,1
dbpedia_6486,dbo:Award,dbo:SoccerPlayer,0
dbpedia_13257,dbo:Location,dbo:Castle,1
dbpedia_13257,dbo:Location,dbo:ShoppingMall,0
dbpedia_13257,dbo:Location,dbo:Building,1
dbpedia_13257,dbo:Location,dbo:Zoo,0
dbpedia_13257,dbo:Location,dbo:ArchitecturalStructure,1
dbpedia_13257,dbo:Location,dbo:SkiResort,0
dbpedia_13257,dbo:Location,dbo:Place,1
dbpedia_13257,dbo:Location,dbo:CelestialBody,0
dbpedia_13257,dbo:Location,dbo:Location,1
dbpedia_13257,dbo:Location,dbo:TopicalConcept,0
dbpedia_6942,dbo:Work,dbo:Software,1
dbpedia_6942,dbo:Work,dbo:Website,0
dbpedia_6942,dbo:Work,dbo:Work,1
dbpedia_6942,dbo:Work,dbo:Country,0
dbpedia_2021,dbo:Agent,dbo:Person,1
dbpedia_2021,dbo:Agent,dbo:Family,0
dbpedia_2021,dbo:Agent,dbo:Agent,1
dbpedia_2021,dbo:Agent,dbo:Holiday,0
dbpedia_2022,dbo:Agent,dbo:Company,1
dbpedia_2022,dbo:Agent,dbo:PoliticalParty,0
dbpedia_2022,dbo:Agent,dbo:Organisation,1
dbpedia_2022,dbo:Agent,dbo:Family,0
dbpedia_2022,dbo:Agent,dbo:Agent,1
dbpedia_2022,dbo:Agent,dbo:MusicalArtist,0
dbpedia_14648,dbo:Work,dbo:Film,1
dbpedia_14648,dbo:Work,dbo:Website,0
dbpedia_14648,dbo:Work,dbo:Work,1
dbpedia_14648,dbo:Work,dbo:Media,0
dbpedia_5966,dbo:Location,dbo:Road,1
dbpedia_5966,dbo:Location,dbo:RailwayLine,0
dbpedia_5966,dbo:Location,dbo:RouteOfTransportation,1
dbpedia_5966,dbo:Location,dbo:Airport,0
dbpedia_5966,dbo:Location,dbo:Infrastructure,1
dbpedia_5966,dbo:Location,dbo:Zoo,0
dbpedia_5966,dbo:Location,dbo:ArchitecturalStructure,1
dbpedia_5966,dbo:Location,dbo:SkiResort,0
dbpedia_5966,dbo:Location,dbo:Place,1
dbpedia_5966,dbo:Location,dbo:CelestialBody,0
dbpedia_5966,dbo:Location,dbo:Location,1
dbpedia_5966,dbo:Location,dbo:TopicalConcept,0
dbpedia_10147,dbo:Media,dbo:Media,1
dbpedia_10147,dbo:Media,dbo:Holiday,0
dbpedia_3163,dbo:Work,dbo:Software,1
dbpedia_3163,dbo:Work,dbo:Website,0
dbpedia_3163,dbo:Work,dbo:Work,1
dbpedia_3163,dbo:Work,dbo:Location,0
dbpedia_18691,dbo:Work,dbo:Magazine,1
dbpedia_18691,dbo:Work,dbo:AcademicJournal,0
dbpedia_18691,dbo:Work,dbo:PeriodicalLiterature,1
dbpedia_18691,dbo:Work,dbo:Play,0
dbpedia_18691,dbo:Work,dbo:WrittenWork,1
dbpedia_18691,dbo:Work,dbo:Website,0
dbpedia_18691,dbo:Work,dbo:TelevisionShow,1
dbpedia_18691,dbo:Work,dbo:TelevisionEpisode,0
dbpedia_18691,dbo:Work,dbo:Work,1
dbpedia_18691,dbo:Work,dbo:City,0
dbpedia_6566,dbo:EthnicGroup,dbo:EthnicGroup,1
dbpedia_6566,dbo:EthnicGroup,dbo:Location,0
dbpedia_8253,dbo:Agent,dbo:Organisation,1
dbpedia_8253,dbo:Agent,dbo:Family,0
dbpedia_8253,dbo:Agent,dbo:Agent,1
dbpedia_8253,dbo:Agent,dbo:SoccerPlayer,0
dbpedia_20524,dbo:Agent,dbo:Person,1
dbpedia_20524,dbo:Agent,dbo:Family,0
dbpedia_20524,dbo:Agent,dbo:Agent,1
dbpedia_20524,dbo:Agent,dbo:PoliticalParty,0
dbpedia_1090,dbo:Activity,dbo:BoardGame,1
dbpedia_1090,dbo:Activity,dbo:BoardGame,0
dbpedia_1090,dbo:Activity,dbo:Game,1
dbpedia_1090,dbo:Activity,dbo:Game,0
dbpedia_1090,dbo:Activity,dbo:Activity,1
dbpedia_1090,dbo:Activity,dbo:TopicalConcept,0
dbpedia_18894,dbo:Agent,dbo:Person,1
dbpedia_18894,dbo:Agent,dbo:Family,0
dbpedia_18894,dbo:Agent,dbo:Agent,1
dbpedia_18894,dbo:Agent,dbo:MountainRange,0
dbpedia_568,dbo:Agent,dbo:Person,1
dbpedia_568,dbo:Agent,dbo:Family,0
dbpedia_568,dbo:Agent,dbo:Agent,1
dbpedia_568,dbo:Agent,dbo:Person,0
dbpedia_19427,dbo:Agent,dbo:Astronaut,1
dbpedia_19427,dbo:Agent,dbo:Architect,0
dbpedia_19427,dbo:Agent,dbo:Person,1
dbpedia_19427,dbo:Agent,dbo:Family,0
dbpedia_19427,dbo:Agent,dbo:Agent,1
dbpedia_19427,dbo:Agent,dbo:Work,0
dbpedia_2810,dbo:Work,dbo:Single,1
dbpedia_2810,dbo:Work,dbo:Song,0
dbpedia_2810,dbo:Work,dbo:MusicalWork,1
dbpedia_2810,dbo:Work,dbo:Website,0
dbpedia_2810,dbo:Work,dbo:Work,1
dbpedia_2810,dbo:Work,dbo:UnitOfWork,0
dbpedia_22821,dbo:Activity,dbo:Sport,1
dbpedia_22821,dbo:Activity,dbo:Game,0
dbpedia_22821,dbo:Activity,dbo:Game,1
dbpedia_22821,dbo:Activity,dbo:Sport,0
dbpedia_22821,dbo:Activity,dbo:Activity,1
dbpedia_22821,dbo:Activity,dbo:PublicService,0
dbpedia_19744,dbo:Agent,dbo:University,1
dbpedia_19744,dbo:Agent,dbo:Library,0
dbpedia_19744,dbo:Agent,dbo:EducationalInstitution,1
dbpedia_19744,dbo:Agent,dbo:PoliticalParty,0
dbpedia_19744,dbo:Agent,dbo:Organisation,1
dbpedia_19744,dbo:Agent,dbo:Family,0
dbpedia_19744,dbo:Agent,dbo:Agent,1
dbpedia_19744,dbo:Agent,dbo:Holiday,0
dbpedia_18595,dbo:Location,dbo:Country,1
dbpedia_18595,dbo:Location,dbo:Department,0
dbpedia_18595,dbo:Location,dbo:City,1
dbpedia_18595,dbo:Location,dbo:HistoricalCountry,0
dbpedia_18595,dbo:Location,dbo:Settlement,1
dbpedia_18595,dbo:Location,dbo:Street,0
dbpedia_18595,dbo:Location,dbo:PopulatedPlace,1
dbpedia_18595,dbo:Location,dbo:SkiResort,0
dbpedia_18595,dbo:Location,dbo:Place,1
dbpedia_18595,dbo:Location,dbo:CelestialBody,0
dbpedia_18595,dbo:Location,dbo:Location,1
dbpedia_18595,dbo:Location,dbo:Agent,0
dbpedia_22976,dbo:Country,dbo:Country,1
dbpedia_22976,dbo:Country,dbo:PoliticalParty,0
dbpedia_16162,dbo:PersonFunction,dbo:Profession,1
dbpedia_16162,dbo:PersonFunction,dbo:Profession,0
dbpedia_16162,dbo:PersonFunction,dbo:PersonFunction,1
dbpedia_16162,dbo:PersonFunction,dbo:SoccerPlayer,0
dbpedia_17103,dbo:Location,dbo:Country,1
dbpedia_17103,dbo:Location,dbo:Department,0
dbpedia_17103,dbo:Location,dbo:State,1
dbpedia_17103,dbo:Location,dbo:Street,0
dbpedia_17103,dbo:Location,dbo:PopulatedPlace,1
dbpedia_17103,dbo:Location,dbo:SkiResort,0
dbpedia_17103,dbo:Location,dbo:Place,1
dbpedia_17103,dbo:Location,dbo:CelestialBody,0
dbpedia_17103,dbo:Location,dbo:Location,1
dbpedia_17103,dbo:Location,dbo:AnatomicalStructure,0
dbpedia_2970,dbo:Agent,dbo:Person,1
dbpedia_2970,dbo:Agent,dbo:Family,0
dbpedia_2970,dbo:Agent,dbo:Agent,1
dbpedia_2970,dbo:Agent,dbo:BaseballTeam,0
dbpedia_5771,dbo:Location,dbo:State,1
dbpedia_5771,dbo:Location,dbo:Department,0
dbpedia_5771,dbo:Location,dbo:PopulatedPlace,1
dbpedia_5771,dbo:Location,dbo:SkiResort,0
dbpedia_5771,dbo:Location,dbo:Place,1
dbpedia_5771,dbo:Location,dbo:CelestialBody,0
dbpedia_5771,dbo:Location,dbo:Location,1
dbpedia_5771,dbo:Location,dbo:PublicService,0
dbpedia_1323,dbo:TopicalConcept,dbo:Taxon,1
dbpedia_1323,dbo:TopicalConcept,dbo:Type,0
dbpedia_1323,dbo:TopicalConcept,dbo:TopicalConcept,1
dbpedia_1323,dbo:TopicalConcept,dbo:MountainRange,0
dbpedia_21978,dbo:Agent,dbo:President,1
dbpedia_21978,dbo:Agent,dbo:Mayor,0
dbpedia_21978,dbo:Agent,dbo:Politician,1
